sentence,language,clean_text
Nimepiga lapa hadi usiku.,sheng,nimepiga lapa hadi usiku
Nipee chapaa ya kufua nguo.,sheng,nipee chapaa ya kufua nguo
Karao wa station ni waelewa.,sheng,karao wa station ni waelewa
Mishe yangu ni siri yangu.,sheng,mishe yangu ni siri yangu
Doh ndio inaendesha hii world.,sheng,doh ndio inaendesha hii world
Rada zimepiga mbele ya stage.,sheng,rada zimepiga mbele ya stage
Nimepata mradi ya painting.,sheng,nimepata mradi ya painting
Nipee bob tano nikule mandazi.,sheng,nipee bob tano nikule mandazi
Gova wameanza msako wa usiku.,sheng,gova wameanza msako wa usiku
Hustle ni lazima ndio ugali isikose.,sheng,hustle ni lazima ndio ugali isikose
Ganji ya leo imetosha.,sheng,ganji ya leo imetosha
Rada iko fiti kwa base.,sheng,rada iko fiti kwa base
Nimepata kibarua kwa shamba.,sheng,nimepata kibarua kwa shamba
Afande amenichapa vile siku.,sheng,afande amenichapa vile siku
Nipee mulla ya kununua viatu.,sheng,nipee mulla ya kununua viatu
Hii mishe inachosha lakini iko na doh.,sheng,hii mishe inachosha lakini iko na doh
Rada zimechangamka mtaani.,sheng,rada zimechangamka mtaani
Nimepata mchuzi ya mchana.,sheng,nimepata mchuzi ya mchana
Karao wamepiga vile siku tena.,sheng,karao wamepiga vile siku tena
Mishe za kibanda ndio zimenilea.,sheng,mishe za kibanda ndio zimenilea
Ganji ya asubuhi ndio tamu.,sheng,ganji ya asubuhi ndio tamu
Niko na mbogi yangu hapo mtaani.,sheng,niko na mbogi yangu hapo mtaani
Hiyo luku yako leo imeweza sana.,sheng,hiyo luku yako leo imeweza sana
Mzae wangu amenishow nirudi home mapema.,sheng,mzae wangu amenishow nirudi home mapema
Chali wa huyo maman ni mrefu.,sheng,chali wa huyo maman ni mrefu
Tunaenda kudunda na mayengs jioni ya leo.,sheng,tunaenda kudunda na mayengs jioni ya leo
Mre amenipigia simu nika-buy mkate.,sheng,mre amenipigia simu nika-buy mkate
Huyo mresh ako na vibe fiti.,sheng,huyo mresh ako na vibe fiti
Nipee pamba kali nivae kwa sherehe.,sheng,nipee pamba kali nivae kwa sherehe
Bestie wangu amenivunja mbavu na story.,sheng,bestie wangu amenivunja mbavu na story
Hiyo ndula ni ya kweli ama ni mtumba?,sheng,hiyo ndula ni ya kweli ama ni mtumba
Sisi ni mbogi genje kabisa.,sheng,sisi ni mbogi genje kabisa
Maza anapika chapati tamu ajabu.,sheng,maza anapika chapati tamu ajabu
Chunga huyo mnyaka asikuchoche.,sheng,chunga huyo mnyaka asikuchoche
Nimepata raba mpya za kudunda.,sheng,nimepata raba mpya za kudunda
Mbogi yetu haina fujo na watu.,sheng,mbogi yetu haina fujo na watu
Mzae amesema hakuna ganji ya sherehe.,sheng,mzae amesema hakuna ganji ya sherehe
Huyo mrembo anakaa kama mwanamitindo.,sheng,huyo mrembo anakaa kama mwanamitindo
Luku ya leo ni ya mtumba lakini iko top.,sheng,luku ya leo ni ya mtumba lakini iko top
Niko na mresh wa kutoka Umoja.,sheng,niko na mresh wa kutoka umoja
Mayengs wote wamefika kwa bash.,sheng,mayengs wote wamefika kwa bash
Mre wangu ni nguzo ya nyumba.,sheng,mre wangu ni nguzo ya nyumba
Hiyo threads umetoka nayo wapi?,sheng,hiyo threads umetoka nayo wapi
Chali yangu amenitumia credit.,sheng,chali yangu amenitumia credit
Bestie wa power ni yule hakuachi.,sheng,bestie wa power ni yule hakuachi
Hiyo mbogi haina shughuli za maana.,sheng,hiyo mbogi haina shughuli za maana
Maza amenitumia kashago kutoka ocha.,sheng,maza amenitumia kashago kutoka ocha
Mnyaka huyu anajua ku-dress vifiti.,sheng,mnyaka huyu anajua ku-dress vifiti
Nipee manten nionekane mjanja.,sheng,nipee manten nionekane mjanja
Mbogi ya mtaa ndio tunategemea.,sheng,mbogi ya mtaa ndio tunategemea
Mzae wa jirani ni mkali.,sheng,mzae wa jirani ni mkali
Huyo mresh amenikataa mbele ya watu.,sheng,huyo mresh amenikataa mbele ya watu
Luku yako leo ina-burn.,sheng,luku yako leo ina-burn
Chali huyu ni mjanja wa tao.,sheng,chali huyu ni mjanja wa tao
Budake ni makanga wa namba nane.,sheng,budake ni makanga wa namba nane
Nimepata swag mpya ya shule.,sheng,nimepata swag mpya ya shule
Mbogi ya power huwa na umoja.,sheng,mbogi ya power huwa na umoja
Maman wangu anapenda mbea.,sheng,maman wangu anapenda mbea
Mnyaka wa Nyeri ni mrembo.,sheng,mnyaka wa nyeri ni mrembo
Nimevaa kitengo kikali leo.,sheng,nimevaa kitengo kikali leo
Mayengs wanapenda picha za Instagram.,sheng,mayengs wanapenda picha za instagram
Mzae amenisomea juu ya kuchelewa.,sheng,mzae amenisomea juu ya kuchelewa
Chali wako ako na gari.,sheng,chali wako ako na gari
Hiyo luku ni ya sherehe.,sheng,hiyo luku ni ya sherehe
Mbogi yetu inaenda road trip.,sheng,mbogi yetu inaenda road trip
Maza amesema nioge.,sheng,maza amesema nioge
Huyo mresh anapenda njia.,sheng,huyo mresh anapenda njia
Nipee ndula za mbao.,sheng,nipee ndula za mbao
Mayengs wanakuja kula lunch.,sheng,mayengs wanakuja kula lunch
Mre ndio heart ya hustle.,sheng,mre ndio heart ya hustle
Chali huyu anajua mtaa.,sheng,chali huyu anajua mtaa
Luku yake inamfanya akae msee wa majuu.,sheng,luku yake inamfanya akae msee wa majuu
Mbogi ndio kila kitu.,sheng,mbogi ndio kila kitu
Mzae anapenda gazeti.,sheng,mzae anapenda gazeti
Huyo mnyaka ni student.,sheng,huyo mnyaka ni student
Nimepata pamba ya blue.,sheng,nimepata pamba ya blue
Mayengs wanajua vibe.,sheng,mayengs wanajua vibe
Maza wa marafiki ni mre.,sheng,maza wa marafiki ni mre
Chali yangu ni msanii.,sheng,chali yangu ni msanii
Hiyo swag itakumaliza.,sheng,hiyo swag itakumaliza
Mbogi ya chuom.,sheng,mbogi ya chuom
Mre ni mtrue.,sheng,mre ni mtrue
Maman wa bash.,sheng,maman wa bash
Nipee kitengo cha majani.,sheng,nipee kitengo cha majani
Mayengs wa Nairobi.,sheng,mayengs wa nairobi
Mzae anataka chai.,sheng,mzae anataka chai
Chali ako na story.,sheng,chali ako na story
Luku ya job.,sheng,luku ya job
Mbogi ya mtaa.,sheng,mbogi ya mtaa
Maza ni mrembo.,sheng,maza ni mrembo
Mnyaka ni mjanja.,sheng,mnyaka ni mjanja
Nimevaa raba za red.,sheng,nimevaa raba za red
Mre anajua siri.,sheng,mre anajua siri
Chali ni mtrue.,sheng,chali ni mtrue
Hiyo pamba imeenda.,sheng,hiyo pamba imeenda
Mbogi ya vibe.,sheng,mbogi ya vibe
Maza wa biashara.,sheng,maza wa biashara
Mnyaka wa class.,sheng,mnyaka wa class
Nipee luku fiti.,sheng,nipee luku fiti
Mayengs wa mtaa.,sheng,mayengs wa mtaa
Mzae wa nguvu.,sheng,mzae wa nguvu
Chali wa kazi.,sheng,chali wa kazi
Hiyo ndula ni moto.,sheng,hiyo ndula ni moto
Mbogi ya sherehe.,sheng,mbogi ya sherehe
Maman wa mtaa.,sheng,maman wa mtaa
Nimepata swag ya leo.,sheng,nimepata swag ya leo
Maza wa kani.,sheng,maza wa kani
Chali wa base.,sheng,chali wa base
Luku ya kanisa.,sheng,luku ya kanisa
Mbogi ya nyuma.,sheng,mbogi ya nyuma
Mre ni fiti.,sheng,mre ni fiti
Mnyaka wa nguvu.,sheng,mnyaka wa nguvu
Nipee pamba nyingine.,sheng,nipee pamba nyingine
Mayengs wa tao.,sheng,mayengs wa tao
Mzae ni mjanja.,sheng,mzae ni mjanja
Chali wa story.,sheng,chali wa story
Luku ya kitambo.,sheng,luku ya kitambo
Nitumie hiyo picha kwa wasap.,sheng,nitumie hiyo picha kwa wasap
Moti yangu imeisha power.,sheng,moti yangu imeisha power
Niko na neti ya Safaricom leo.,sheng,niko na neti ya safaricom leo
Huyo mresh amenitumia dm.,sheng,huyo mresh amenitumia dm
Laptopi yako iko na virusi.,sheng,laptopi yako iko na virusi
Nipee hotspot nicheki results zangu.,sheng,nipee hotspot nicheki results zangu
Hii app inakata simu yangu.,sheng,hii app inakata simu yangu
Nimepoteza password ya Facebook.,sheng,nimepoteza password ya facebook
Tafuta charger ya moti hapa.,sheng,tafuta charger ya moti hapa
Nimefuta hiyo video kwa galari.,sheng,nimefuta hiyo video kwa galari
Hii moti ni ya digi kabisa.,sheng,hii moti ni ya digi kabisa
Nime-post picha mpya kwa insta.,sheng,nime-post picha mpya kwa insta
Uko na bando za kutosha?,sheng,uko na bando za kutosha
Niko kwa mitandao nikisaka job.,sheng,niko kwa mitandao nikisaka job
Mre hajui kutumia hiyo moti.,sheng,mre hajui kutumia hiyo moti
Nitumie location kwa wasap.,sheng,nitumie location kwa wasap
Hii screen imepasuka vibaya.,sheng,hii screen imepasuka vibaya
Nimepata followers mob leo.,sheng,nimepata followers mob leo
Huyo msee ni influencer wa nguvu.,sheng,huyo msee ni influencer wa nguvu
Tiktok ndio vibe ya wasee wa mtaa.,sheng,tiktok ndio vibe ya wasee wa mtaa
Weka status fiti ndio wacheki.,sheng,weka status fiti ndio wacheki
Nime-subscribe kwa chaneli yako ya Youtube.,sheng,nime-subscribe kwa chaneli yako ya youtube
Hii moti ina-hang sana nikicheza game.,sheng,hii moti ina-hang sana nikicheza game
Nipee wi-fi password nimalize kudownload.,sheng,nipee wi-fi password nimalize kudownload
Simu yangu haina storage tena.,sheng,simu yangu haina storage tena
Huyo mzee amenitumia email asubuhi.,sheng,huyo mzee amenitumia email asubuhi
Niko kwa zoom meeting sasa hivi.,sheng,niko kwa zoom meeting sasa hivi
Hii kompyuta ni ya kitambo sana.,sheng,hii kompyuta ni ya kitambo sana
Nime-block huyo msee kwa wasap.,sheng,nime-block huyo msee kwa wasap
Tafuta kebo ya kuchomeka kwa TV.,sheng,tafuta kebo ya kuchomeka kwa tv
Hii tablet ni ya mzae.,sheng,hii tablet ni ya mzae
Nime-scroll twitter sana leo.,sheng,nime-scroll twitter sana leo
Huyo mresh hajibu chat zangu.,sheng,huyo mresh hajibu chat zangu
Moti yangu iko na crack kwa kioo.,sheng,moti yangu iko na crack kwa kioo
Nimepata vuta ya iphone mpya.,sheng,nimepata vuta ya iphone mpya
Hii bando imeisha haraka sana.,sheng,hii bando imeisha haraka sana
Niko online lakini sibongi na mtu.,sheng,niko online lakini sibongi na mtu
Nipee link ya hiyo video.,sheng,nipee link ya hiyo video
Hii moti ni ya kuchapa kazi.,sheng,hii moti ni ya kuchapa kazi
Nime-log in kwa portal ya chu.,sheng,nime-log in kwa portal ya chu
Weka flight mode ndio usinisumbue.,sheng,weka flight mode ndio usinisumbue
Hii moti imeanguka kwa maji.,sheng,hii moti imeanguka kwa maji
Nime-update system ya laptopi.,sheng,nime-update system ya laptopi
Huyo msee ni hacker mjanja.,sheng,huyo msee ni hacker mjanja
Nipee namba yako ya wasap.,sheng,nipee namba yako ya wasap
Hii website inafungua polepole.,sheng,hii website inafungua polepole
Nime-mute hiyo group ya mtaa.,sheng,nime-mute hiyo group ya mtaa
Hii moti ni ya lay-man.,sheng,hii moti ni ya lay-man
Nipee bando za finje pekee.,sheng,nipee bando za finje pekee
Huyo mresh ako na filter mob kwa picha.,sheng,huyo mresh ako na filter mob kwa picha
Laptopi yangu iko na chaji kidogo.,sheng,laptopi yangu iko na chaji kidogo
Nime-screenshot hiyo story yako.,sheng,nime-screenshot hiyo story yako
Hii moti ni ya line mbili.,sheng,hii moti ni ya line mbili
Nimepoteza sim-card yangu kwa mat.,sheng,nimepoteza sim-card yangu kwa mat
Huyo msee anatumia proxy kuficha rada.,sheng,huyo msee anatumia proxy kuficha rada
Niko live kwa tiktok saa hii.,sheng,niko live kwa tiktok saa hii
Hii keyboard haina vifungo fiti.,sheng,hii keyboard haina vifungo fiti
Nime-share hiyo location na mbogi.,sheng,nime-share hiyo location na mbogi
Hii moti ni ya kugusa pekee.,sheng,hii moti ni ya kugusa pekee
Nime-report hiyo account ya feki.,sheng,nime-report hiyo account ya feki
Hii internet iko na jam mbaya.,sheng,hii internet iko na jam mbaya
Nipee earphones nisikilize ngoma.,sheng,nipee earphones nisikilize ngoma
Hii moti ime-slow down sana.,sheng,hii moti ime-slow down sana
Nime-set alarm ya asubuhi.,sheng,nime-set alarm ya asubuhi
Huyo msee ako na gaming PC kali.,sheng,huyo msee ako na gaming pc kali
Nimepata email kutoka kwa gova.,sheng,nimepata email kutoka kwa gova
Hii modem haina signal.,sheng,hii modem haina signal
Nime-delete wasap juu ya stress.,sheng,nime-delete wasap juu ya stress
Hii moti ni ya android mpya.,sheng,hii moti ni ya android mpya
Nipee hotspot ya dakika tano.,sheng,nipee hotspot ya dakika tano
Huyo mresh amenitumia voice-note.,sheng,huyo mresh amenitumia voice-note
Hii mouse haina batteri.,sheng,hii mouse haina batteri
Nimepoteza flash disk yangu.,sheng,nimepoteza flash disk yangu
Hii laptopi inapata moto haraka.,sheng,hii laptopi inapata moto haraka
Nime-tag mbogi yote kwa picha.,sheng,nime-tag mbogi yote kwa picha
Hii moti ni ya refurbished.,sheng,hii moti ni ya refurbished
Nipee bando za kushinda mchana.,sheng,nipee bando za kushinda mchana
Huyo msee amenitumia link ya meeting.,sheng,huyo msee amenitumia link ya meeting
Hii screen saver ni ya kitambo.,sheng,hii screen saver ni ya kitambo
Nime-unfollow huyo msee kwa insta.,sheng,nime-unfollow huyo msee kwa insta
Hii moti ime-crack screen vibaya.,sheng,hii moti ime-crack screen vibaya
Nipee chaja ya type-C.,sheng,nipee chaja ya type-c
Huyo mresh hajui kutumia snapchat.,sheng,huyo mresh hajui kutumia snapchat
Hii laptopi iko na RAM kidogo.,sheng,hii laptopi iko na ram kidogo
Nimepata notification mpya.,sheng,nimepata notification mpya
Hii moti ni ya mchina.,sheng,hii moti ni ya mchina
Nipee hotspot nika-update app.,sheng,nipee hotspot nika-update app
Huyo msee anapenda ku-troll wasee online.,sheng,huyo msee anapenda ku-troll wasee online
Hii folder iko na picha zote.,sheng,hii folder iko na picha zote
Nime-pin location kwa map.,sheng,nime-pin location kwa map
Hii moti ni ya kioo kubwa.,sheng,hii moti ni ya kioo kubwa
Nipee wasap yako nimalizie story.,sheng,nipee wasap yako nimalizie story
Huyo msee ame-hack wifi ya jirani.,sheng,huyo msee ame-hack wifi ya jirani
Hii laptopi haina webcam fiti.,sheng,hii laptopi haina webcam fiti
Nimepoteza earbuds zangu kwa gari.,sheng,nimepoteza earbuds zangu kwa gari
Hii moti ni ya kudumu sana.,sheng,hii moti ni ya kudumu sana
Nipee bando za youtube pekee.,sheng,nipee bando za youtube pekee
Huyo msee ako na website yake.,sheng,huyo msee ako na website yake
Hii moti imezimika yenyewe.,sheng,hii moti imezimika yenyewe
Nimepata kazi ya coding leo.,sheng,nimepata kazi ya coding leo
Nimejam sana na huyo msee.,sheng,nimejam sana na huyo msee
Hiyo story imenibamba sana.,sheng,hiyo story imenibamba sana
Usiniangalie hivyo nita-chizi.,sheng,usiniangalie hivyo nita-chizi
Niko fiti leo juu nimepata ganji.,sheng,niko fiti leo juu nimepata ganji
Maman anatesa na hiyo luku yake.,sheng,maman anatesa na hiyo luku yake
Wacha kubonga sana na huna kitu.,sheng,wacha kubonga sana na huna kitu
Nime-feel vibaya juu ya hiyo news.,sheng,nime-feel vibaya juu ya hiyo news
Leo niko low sana.,sheng,leo niko low sana
Watu wamefurahi juu ya mradi mpya.,sheng,watu wamefurahi juu ya mradi mpya
Inabamba sana kukuwa na mbogi.,sheng,inabamba sana kukuwa na mbogi
Usikue mkaidi mbele ya mzae.,sheng,usikue mkaidi mbele ya mzae
Nime-boreka na hii jam.,sheng,nime-boreka na hii jam
Huyo msee ni m-tough sana.,sheng,huyo msee ni m-tough sana
Nime-penda vile hiyo gari inakaa.,sheng,nime-penda vile hiyo gari inakaa
Usiogope tuko na wewe,sheng,usiogope tuko na wewe
Hiyo bash ilikuwa shaghala-baghala kabisa.,sheng,hiyo bash ilikuwa shaghala-baghala kabisa
Nime-boeka kukaa kwa nyumba.,sheng,nime-boeka kukaa kwa nyumba
Huyo mresh anaringa sana siku hizi.,sheng,huyo mresh anaringa sana siku hizi
Niko na uchovu ya mjengo.,sheng,niko na uchovu ya mjengo
Tulikuwa na mzuka wa nguvu.,sheng,tulikuwa na mzuka wa nguvu
Wacha kuwa m-selfish na chakula.,sheng,wacha kuwa m-selfish na chakula
Nimepata mzuka wa kuchapa kazi.,sheng,nimepata mzuka wa kuchapa kazi
Huyo mzae ako na mregezo sana.,sheng,huyo mzae ako na mregezo sana
Nimeshangaa vile gari imefika.,sheng,nimeshangaa vile gari imefika
Usiwe na wasiwasi kila kitu itakuwa sawa.,sheng,usiwe na wasiwasi kila kitu itakuwa sawa
Hiyo ngoma inanipandisha vibe.,sheng,hiyo ngoma inanipandisha vibe
Nime-kasirika juu ya change yangu.,sheng,nime-kasirika juu ya change yangu
Huyo mzee ni m-cool sana.,sheng,huyo mzee ni m-cool sana
Niko excited juu ya safari.,sheng,niko excited juu ya safari
Usikue m-slow kwa hii biashara.,sheng,usikue m-slow kwa hii biashara
Nime-loose hope na hii system.,sheng,nime-loose hope na hii system
Huyo mresh ni m-shibe kabisa.,sheng,huyo mresh ni m-shibe kabisa
Niko na stress za rent.,sheng,niko na stress za rent
Watu wame-parara juu ya jua.,sheng,watu wame-parara juu ya jua
Inanikera vile anabonga.,sheng,inanikera vile anabonga
Nime-pata raha sana leo.,sheng,nime-pata raha sana leo
Hiyo vibe yako ni ya uongo.,sheng,hiyo vibe yako ni ya uongo
Niko m-hungry mbaya sana.,sheng,niko m-hungry mbaya sana
Usini-mind niko kwa shughuli.,sheng,usini-mind niko kwa shughuli
Nime-smile juu ya wasap yako.,sheng,nime-smile juu ya wasap yako
Huyo msee ni m-funny ajabu.,sheng,huyo msee ni m-funny ajabu
Niko na shauku ya kukuona.,sheng,niko na shauku ya kukuona
Inaniboa vile gari inatembea.,sheng,inaniboa vile gari inatembea
Nime-enjoy hii food sana.,sheng,nime-enjoy hii food sana
Huyo karao ni m-rude sana.,sheng,huyo karao ni m-rude sana
Niko relaxed kwa vanda.,sheng,niko relaxed kwa vanda
Usiwe m-lazy ukitafuta ganji.,sheng,usiwe m-lazy ukitafuta ganji
Nime-penda hiyo moti yako.,sheng,nime-penda hiyo moti yako
Huyo msee ni m-brave sana.,sheng,huyo msee ni m-brave sana
Niko na kizunguzungu kidogo.,sheng,niko na kizunguzungu kidogo
Inanibamba vile unancheki.,sheng,inanibamba vile unancheki
Nime-kasirika lakini nitakuwa fiti.,sheng,nime-kasirika lakini nitakuwa fiti
Huyo mzae ni m-strict sana.,sheng,huyo mzae ni m-strict sana
Niko na vunja-mbavu mob leo.,sheng,niko na vunja-mbavu mob leo
Usikue m-coward kwa mtaa.,sheng,usikue m-coward kwa mtaa
Nime-choka na hizi story.,sheng,nime-choka na hizi story
Huyo mresh ni m-kind sana.,sheng,huyo mresh ni m-kind sana
Niko na matumaini ya kesho.,sheng,niko na matumaini ya kesho
Inanitisha vile kunakaa.,sheng,inanitisha vile kunakaa
Nime-enjoy sherehe kabisa.,sheng,nime-enjoy sherehe kabisa
Huyo msee ni m-smart kwa class.,sheng,huyo msee ni m-smart kwa class
Niko na kuhangaika kwingi.,sheng,niko na kuhangaika kwingi
Inanibamba sana tukibonga.,sheng,inanibamba sana tukibonga
Nime-huzunika juu ya msiba.,sheng,nime-huzunika juu ya msiba
Huyo mzee ni m-generous.,sheng,huyo mzee ni m-generous
Niko m-active asubuhi hii.,sheng,niko m-active asubuhi hii
Usikue na chuki na jirani.,sheng,usikue na chuki na jirani
Nime-shangazwa na hiyo luku.,sheng,nime-shangazwa na hiyo luku
Huyo mresh ni m-shy kidogo.,sheng,huyo mresh ni m-shy kidogo
Niko na amani moyoni.,sheng,niko na amani moyoni
Inanichafua roho vile anatenda.,sheng,inanichafua roho vile anatenda
Nime-pata nguvu mpya.,sheng,nime-pata nguvu mpya
Huyo msee ni m-loyal sana.,sheng,huyo msee ni m-loyal sana
Niko na hamu ya mutura.,sheng,niko na hamu ya mutura
Usikue m-negative kila saa.,sheng,usikue m-negative kila saa
Nime-boeka na hii kelele.,sheng,nime-boeka na hii kelele
Huyo mzae ako na hekima.,sheng,huyo mzae ako na hekima
Niko na uvumilivu mwingi.,sheng,niko na uvumilivu mwingi
Inanibamba vipi unadrive.,sheng,inanibamba vipi unadrive
Nime-kasirika hadi nime-chizi.,sheng,nime-kasirika hadi nime-chizi
Huyo msee ni m-stubborn.,sheng,huyo msee ni m-stubborn
Niko na furaha ya kukuona.,sheng,niko na furaha ya kukuona
Usikue m-proud mbele ya mbogi.,sheng,usikue m-proud mbele ya mbogi
Nime-shukuru kwa hii mulla.,sheng,nime-shukuru kwa hii mulla
Huyo mresh ni m-talented.,sheng,huyo mresh ni m-talented
Niko na kiu ya maji.,sheng,niko na kiu ya maji
Inaniboa vipi anaringa.,sheng,inaniboa vipi anaringa
Nime-shiba hadi siwezi bonga.,sheng,nime-shiba hadi siwezi bonga
Huyo msee ni m-clumsy.,sheng,huyo msee ni m-clumsy
Niko na ujasiri wa kusimama.,sheng,niko na ujasiri wa kusimama
Usikue na hofu yoyote.,sheng,usikue na hofu yoyote
Nime-bamba na hii movie.,sheng,nime-bamba na hii movie
Huyo mzee ni m-honest.,sheng,huyo mzee ni m-honest
Niko na njaa mbaya.,sheng,niko na njaa mbaya
Inanibamba vipi mtaa inakaa.,sheng,inanibamba vipi mtaa inakaa
Nime-penda hii song kabisa.,sheng,nime-penda hii song kabisa
Huyo msee ni m-wild.,sheng,huyo msee ni m-wild
Niko na hamu ya kulala.,sheng,niko na hamu ya kulala
Usikue m-annoying hapa.,sheng,usikue m-annoying hapa
Nime-bamba na luku yako.,sheng,nime-bamba na luku yako
Nipee mzinga wa baridi.,sheng,nipee mzinga wa baridi
Watu wanakata sherehe hapo mbele.,sheng,watu wanakata sherehe hapo mbele
Hii jaba imetoka Meru leo.,sheng,hii jaba imetoka meru leo
Nipee fegi moja nimalize chai.,sheng,nipee fegi moja nimalize chai
Hiyo ndom iko na harufu kali.,sheng,hiyo ndom iko na harufu kali
Tume-chapa vela tukicheki ball.,sheng,tume-chapa vela tukicheki ball
Msimu wa sherehe umefika.,sheng,msimu wa sherehe umefika
Kuna bash ya nguvu na vinywaji mob.,sheng,kuna bash ya nguvu na vinywaji mob
Huyo msee amelewa sana.,sheng,huyo msee amelewa sana
Wacha kutumia shada kwa barabara.,sheng,wacha kutumia shada kwa barabara
Nipee stungi moja nikae chini.,sheng,nipee stungi moja nikae chini
Hii beas ni tamu sana.,sheng,hii beas ni tamu sana
Veve ndio inafanya niamke.,sheng,veve ndio inafanya niamke
Leo tuna-dunda hadi asubuhi.,sheng,leo tuna-dunda hadi asubuhi
Piga sherehe lakini weka rada.,sheng,piga sherehe lakini weka rada
Nimekunywa Gilbeys nusu leo.,sheng,nimekunywa gilbeys nusu leo
Hiyo keroro itakuua mzee.,sheng,hiyo keroro itakuua mzee
Tafuta kiberiti tuwashe hii vela.,sheng,tafuta kiberiti tuwashe hii vela
Niko na hangover mbaya asubuhi.,sheng,niko na hangover mbaya asubuhi
Huyo msee ni mteja wa ndom.,sheng,huyo msee ni mteja wa ndom
Nipee keg ya soo moja.,sheng,nipee keg ya soo moja
Usikue mlevi wa kila siku.,sheng,usikue mlevi wa kila siku
Hii fegi haina vibe yoyote.,sheng,hii fegi haina vibe yoyote
Nimepata vuta ya shash leo.,sheng,nimepata vuta ya shash leo
Wacha tuka-buy quarter ya mzinga.,sheng,wacha tuka-buy quarter ya mzinga
Huyo mresh anapenda vinywaji kali.,sheng,huyo mresh anapenda vinywaji kali
Niko na stock ya jaba nyumbani.,sheng,niko na stock ya jaba nyumbani
Hii sherehe haina mwisho leo.,sheng,hii sherehe haina mwisho leo
Nipee majani nicheue vifiti.,sheng,nipee majani nicheue vifiti
Huyo msee ako na mzinga kwa begi.,sheng,huyo msee ako na mzinga kwa begi
Nimelewa hadi sioni vizuri.,sheng,nimelewa hadi sioni vizuri
Wacha kutumia shada kwa vanda.,sheng,wacha kutumia shada kwa vanda
Nipee beas ya tatu.,sheng,nipee beas ya tatu
Hii ndom imetoka Shashamane.,sheng,hii ndom imetoka shashamane
Niko na club nikipiga vinywaji.,sheng,niko na club nikipiga vinywaji
Huyo msee amepoteza akili juu ya vela.,sheng,huyo msee amepoteza akili juu ya vela
Nipee fegi ya mbao.,sheng,nipee fegi ya mbao
Hii jaba ni ya nyoka kabisa.,sheng,hii jaba ni ya nyoka kabisa
Nimepata bash iko na sherehe mob.,sheng,nimepata bash iko na sherehe mob
Usikunywe mzinga ukidrive.,sheng,usikunywe mzinga ukidrive
Huyo msee anauza ndom kwa chuom.,sheng,huyo msee anauza ndom kwa chuom
Nipee keg ya baridi sana.,sheng,nipee keg ya baridi sana
Hii shada inachoma koo.,sheng,hii shada inachoma koo
Niko na hamu ya vinywaji.,sheng,niko na hamu ya vinywaji
Huyo mresh amelewa hadi analia.,sheng,huyo mresh amelewa hadi analia
Nipee stungi nipepete hapa.,sheng,nipee stungi nipepete hapa
Hii keroro ni ya ocha.,sheng,hii keroro ni ya ocha
Nimebuy jaba ya soo tatu.,sheng,nimebuy jaba ya soo tatu
Wacha tuchome hii vela haraka.,sheng,wacha tuchome hii vela haraka
Niko kwa sherehe ya birthday.,sheng,niko kwa sherehe ya birthday
Huyo msee hajui kushika ndom.,sheng,huyo msee hajui kushika ndom
Nipee fegi ya menthol.,sheng,nipee fegi ya menthol
Hii quarter ni ya gin.,sheng,hii quarter ni ya gin
Nimepata vuta ya shash kwa mfuko.,sheng,nimepata vuta ya shash kwa mfuko
Usikubali vinywaji kutoka kwa mgeni.,sheng,usikubali vinywaji kutoka kwa mgeni
Huyo msee ni wa jaba kabisa.,sheng,huyo msee ni wa jaba kabisa
Nipee mzinga mmoja wa whisky.,sheng,nipee mzinga mmoja wa whisky
Hii sherehe iko na vibe.,sheng,hii sherehe iko na vibe
Niko na kiu ya beas.,sheng,niko na kiu ya beas
Huyo msee amezimia juu ya vela.,sheng,huyo msee amezimia juu ya vela
Nipee ndom ya finje.,sheng,nipee ndom ya finje
Hii fegi imetoka duka ya mangi.,sheng,hii fegi imetoka duka ya mangi
Nimelewa hadi nimesahau moti.,sheng,nimelewa hadi nimesahau moti
Wacha kutumia shada hapa ndani.,sheng,wacha kutumia shada hapa ndani
Nipee vinywaji ya bure.,sheng,nipee vinywaji ya bure
Huyo msee anapenda jaba sana.,sheng,huyo msee anapenda jaba sana
Niko kwa base nikipiga vela.,sheng,niko kwa base nikipiga vela
Hii sherehe itatuua leo.,sheng,hii sherehe itatuua leo
Nipee mzinga wa voda.,sheng,nipee mzinga wa voda
Huyo mresh ame-blackout kwa vanda.,sheng,huyo mresh ame-blackout kwa vanda
Nipee stungi ya kioo.,sheng,nipee stungi ya kioo
Hii ndom inakaa fiti.,sheng,hii ndom inakaa fiti
Nimebuy vela ya soo moja.,sheng,nimebuy vela ya soo moja
Wacha tunywe keroro ya mtaa.,sheng,wacha tunywe keroro ya mtaa
Niko na hangover asubuhi yote.,sheng,niko na hangover asubuhi yote
Huyo msee amekata sherehe hadi kesho.,sheng,huyo msee amekata sherehe hadi kesho
Nipee fegi ya baridi.,sheng,nipee fegi ya baridi
Hii jaba ni ya kila siku.,sheng,hii jaba ni ya kila siku
Nimepata vinywaji kwa meza.,sheng,nimepata vinywaji kwa meza
Usikue m-addict wa ndom.,sheng,usikue m-addict wa ndom
Huyo msee anapumua shada.,sheng,huyo msee anapumua shada
Nipee beas ya baridi kabisa.,sheng,nipee beas ya baridi kabisa
Hii quarter ni ya mzinga mpya.,sheng,hii quarter ni ya mzinga mpya
